Pe,alpha_in,alpha_out,kappa,pol,Rg_mean,Rg_std,D_long_plateau,D_log_fit_long,D_lin_fit_long,E2E_mean,E2E_std,tau_exponential,tau_stretched,beta_stretched,tau_1e,tau_half,blocks_lost_pct,frames_lost_pct,blocks_original,blocks_valid,Rg_cv
0.0,0.0,0.0,0.0,pass,17.36898485830186,2.525233162056125,0.00017188973547920347,0.0002675835892294016,0.00018847220439500254,44.195315928723716,14.615804698510082,0.011797812549149337,0.0037065020114758996,0.503151183151744,0.007,0.003,,,,,0.14538749285909697
10.0,0.0,0.0,0.0,act,8.685384138548663,1.7390074775735318,0.1170662138717988,0.3451928938993096,0.4479911052819454,19.61820262427333,8.239814411172086,0.011591164758882938,0.003191804405172257,0.4985183181473397,0.007,0.003,,,,,0.20022228721643184
10.0,0.1,0.1,1.0,1,9.385535722162706,2.3828302291960184,0.028194535924533755,0.030650623314288094,0.034628222271414565,19.80222452224934,8.063466028351467,0.0032980557899689416,0.0008910793042425241,0.49658541018718916,0.001,0.001,0.77,0.93,522.0,518.0,0.2538832411632379
10.0,0.1,0.2,1.0,1,13.282733808758538,3.0005935795694376,0.02122842308336206,0.016329062393352512,0.024867214253346804,28.532467634656534,12.18245926164325,0.00309972257590261,0.0011203176376969376,0.5814737925786202,0.003,0.001,0.0,0.17,539.0,537.0,0.22590180777325133
10.0,0.1,0.3,1.0,1,13.102605824450675,3.008653821712053,0.025681841859270638,0.02728923438771393,0.0249324870903064,27.256833548187682,12.001538609970982,0.003204913961092269,0.0010196935038057717,0.6042720671189754,0.003,0.001,0.57,11.41,522.0,517.0,0.229622554629372
10.0,0.1,0.4,1.0,1,13.114112704218208,2.9041218666712276,0.03099649502768878,0.051706877886758394,0.05616248330374119,27.801412857897272,11.709787390939361,0.0033105655930668865,0.0011646857624132674,0.606884651020791,0.003,0.001,6.04,13.42,530.0,496.0,0.22145012264055844
10.0,0.1,0.5,1.0,1,13.28417738855819,2.7931298680543843,0.02561802242613879,0.012478550592567557,0.02904056534048406,27.150027994453033,11.387451036301812,0.0034878409589140943,0.0010590557595993397,0.5371859050782748,0.003,0.001,5.85,13.26,530.0,497.0,0.21025990442284656
10.0,0.1,0.6,1.0,1,13.27164855965234,2.919309307551164,0.03420451964572539,0.05365895672391403,0.03900336749020558,27.71085682575611,11.442577035299532,0.0027867930997138497,0.0011205907190102462,0.6367394824015447,0.003,0.001,6.33,14.04,490.0,457.0,0.21996583879008602
10.0,0.1,0.7,1.0,1,12.93312916199057,3.0595073406492914,0.029286075780110908,0.009186979712234025,0.02798888431267312,27.18495544100896,11.978066432069934,0.003210375187489809,0.0010778299371311756,0.5773373867397041,0.003,0.001,6.13,13.97,489.0,457.0,0.23656358042421308
10.0,0.1,0.8,1.0,1,13.103445196742758,2.8293515470742254,0.026319568206291787,0.023103189801321217,0.026298625571886673,28.040668291220406,12.336985999222359,0.0029404048969022957,0.000986088066065307,0.5606968715588632,0.001,0.001,0.49,1.22,406.0,402.0,0.2159242477526096
10.0,0.1,0.9,1.0,1,13.01797732902123,2.7626698438306105,0.0245757138744924,0.026869921537592947,0.026903777354581115,26.94006397112183,11.10512671781874,0.0026280182259809633,0.0012115884010592947,0.6807218083270511,0.003,0.001,0.73,1.22,411.0,406.0,0.21221959249166436
10.0,0.1,1.0,1.0,1,13.095982029738765,3.061202128858584,0.032795153113905295,0.0797184616271626,0.03632162351957315,27.41261380182898,12.14753803529986,0.002897015955440059,0.0010791852616850541,0.6335847757591361,0.003,0.001,6.67,14.87,465.0,432.0,0.23375124690207352
10.0,0.2,0.1,1.0,1,8.8468500042155,1.7272427862356905,0.11307397720421146,0.15046354029388978,0.16858769312724164,19.562559970466516,8.294758141782294,0.005200169078888871,0.0010760419632630913,0.5133153269752004,0.003,0.001,6.92,15.11,477.0,442.0,0.19523816786909057
10.0,0.2,0.2,1.0,1,8.817083765388112,2.4130465160206973,0.05368116624771602,0.038344109876565814,0.05594409853314685,20.883141385153372,9.682078314057986,0.0036286004170629775,0.0008379297604838973,0.49520528273985315,0.001,0.001,0.47,28.99,429.0,425.0,0.27367852911789586
10.0,0.2,0.3,1.0,1,13.346815394719043,2.8431347907040436,0.042944209946233006,0.03817274060025562,0.04269270142143447,30.114551939289218,12.373961227899969,0.004503497936021417,0.0010190962006398768,0.6661535317586116,0.003,0.001,0.71,30.44,420.0,415.0,0.21301971343883214
10.0,0.2,0.4,1.0,1,13.487887385723997,2.9670371111368716,0.049426035933370124,0.025426217045591424,0.05379016641393377,30.135670955061283,11.415701630165143,0.0038721074468761616,0.0011744234209560174,0.5758851846710826,0.003,0.001,0.5,0.84,402.0,398.0,0.21997789767115616
10.0,0.2,0.5,1.0,1,13.721697053424684,3.520893367728344,0.047194241934983186,0.08081622193913839,0.04947084947193409,29.732918888518842,13.701017143220183,0.003486529624992668,0.0009698914657576571,0.5449593781108184,0.001,0.001,0.48,25.83,417.0,413.0,0.2565931425260255
10.0,0.2,0.6,1.0,1,13.535702079012507,3.0808511352885186,0.055336738027893226,0.07768229490851977,0.09825448446092845,29.630485238465184,12.034670997011004,0.004342305851499862,0.0010147073814213343,0.600290417178691,0.003,0.001,0.24,18.58,414.0,411.0,0.22760926011111507
