Pe,alpha_in,alpha_out,kappa,pol,segment_center,Rg_local,Rg_local_std,MSD_t1,MSD_t4,MSD_t16,MSD_t65,MSD_t262,MSD_t524,MSD_t1k,MSD_t5k,MSD_t10k,MSD_t50k,MSD_t100k,MSD_t300k,D_local,rho_local,rho_local_std,rho_tasep,sigma_tasep,J_tasep,Rg_chain,D_eff,sim_type,rho_exact,rho_mf,J_mf,J_mf_exact,alpha_ratio,couple
0.0,0.0,0.0,0.0,pass,245.5,1.720874,0.224194,0.02620221,0.104075,0.4230488,1.457963,4.769233,,13.55591,49.40392,77.76198,129.5716,268.7839,,0.00016519459325037885,,,0.0,0.0,0.0,17.36898485830186,0.00018847220439500254,PASSIVE,0.0,0.0,,0.0,,"α_in=0.0, α_out=0.0"
0.0,0.0,0.0,0.0,pass,25.5,1.712382,0.225103,0.02528894,0.1124598,0.4038695,1.369444,4.577109,,13.79144,40.28702,71.94881,514.8951,1008.307,,0.001932688389135504,,,0.0,0.0,0.0,17.36898485830186,0.00018847220439500254,PASSIVE,0.0,0.0,,0.0,,"α_in=0.0, α_out=0.0"
0.0,0.0,0.0,0.0,pass,255.5,1.719419,0.22066,0.02722125,0.1116886,0.4035741,1.430071,4.749824,,14.49644,42.72477,70.80819,140.4068,242.4857,,0.0001886661290303919,,,0.0,0.0,0.0,17.36898485830186,0.00018847220439500254,PASSIVE,0.0,0.0,,0.0,,"α_in=0.0, α_out=0.0"
0.0,0.0,0.0,0.0,pass,265.5,1.714743,0.2324,0.02768542,0.1058537,0.4027672,1.417087,4.617899,,13.42406,39.45493,61.00352,131.4878,250.099,,0.00021769777898534776,,,0.0,0.0,0.0,17.36898485830186,0.00018847220439500254,PASSIVE,0.0,0.0,,0.0,,"α_in=0.0, α_out=0.0"
0.0,0.0,0.0,0.0,pass,275.5,1.7384,0.219098,0.02857705,0.1152009,0.4123125,1.444436,4.659494,,12.88838,41.16399,64.22512,131.5228,310.6517,,0.00022698836512178729,,,0.0,0.0,0.0,17.36898485830186,0.00018847220439500254,PASSIVE,0.0,0.0,,0.0,,"α_in=0.0, α_out=0.0"
0.0,0.0,0.0,0.0,pass,285.5,1.715165,0.232946,0.02661588,0.1058012,0.4080154,1.417445,4.658485,,13.7292,46.09873,80.96365,165.38,386.3186,,0.0002752980450884223,,,0.0,0.0,0.0,17.36898485830186,0.00018847220439500254,PASSIVE,0.0,0.0,,0.0,,"α_in=0.0, α_out=0.0"
0.0,0.0,0.0,0.0,pass,295.5,1.713569,0.225619,0.02874252,0.1100008,0.4385504,1.716632,6.380933,,20.41085,65.81981,116.3667,221.627,431.1165,,0.00033225926721133455,,,0.0,0.0,0.0,17.36898485830186,0.00018847220439500254,PASSIVE,0.0,0.0,,0.0,,"α_in=0.0, α_out=0.0"
0.0,0.0,0.0,0.0,pass,35.5,1.72976,0.217304,0.02948534,0.11136,0.3969274,1.390829,4.821657,,14.09751,42.60694,73.91014,447.7008,847.1925,,0.0016211021057934228,,,0.0,0.0,0.0,17.36898485830186,0.00018847220439500254,PASSIVE,0.0,0.0,,0.0,,"α_in=0.0, α_out=0.0"
0.0,0.0,0.0,0.0,pass,45.5,1.707258,0.222184,0.02744098,0.1153939,0.4239264,1.461611,4.78829,,14.29598,38.08802,70.315,348.0856,746.3576,,0.0011752065554669212,,,0.0,0.0,0.0,17.36898485830186,0.00018847220439500254,PASSIVE,0.0,0.0,,0.0,,"α_in=0.0, α_out=0.0"
0.0,0.0,0.0,0.0,pass,5.5,1.69315,0.232559,0.02667696,0.123253,0.468764,1.698939,6.245312,,21.13503,79.48035,132.8003,619.1677,1301.526,,0.002101170904473072,,,0.0,0.0,0.0,17.36898485830186,0.00018847220439500254,PASSIVE,0.0,0.0,,0.0,,"α_in=0.0, α_out=0.0"
