simulation_dir,Pe,alpha_in,alpha_out,kappa,pol,blocks_original,blocks_valid,blocks_eliminated,blocks_recovered,recovered_block_numbers,blocks_excluded_final,blocks_lost_pct,frames_original,frames_written,frames_lost,frames_lost_pct,last_timestep,valid_timestep,n_corrupted,n_recovered_excluded,n_incomplete,eliminated_block_numbers,timestamp
Pe_10.0_alpha_in_0.8_alpha_out_0.8_kappa_1.0_pol_1,10.0,0.8,0.8,1.0,1,402,399,1,139,"256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394",1,0.25,11917,8379,3538,29.69,420478976,419430400,1,0,0,395,2026-02-16 13:57:07.410361
Pe_10.0_alpha_in_0.8_alpha_out_0.9_kappa_1.0_pol_1,10.0,0.8,0.9,1.0,1,402,399,1,92,"256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347",1,0.25,10925,8379,2546,23.3,420478976,419430400,1,0,0,348,2026-02-16 13:57:07.845204
Pe_10.0_alpha_in_0.8_alpha_out_1.0_kappa_1.0_pol_1,10.0,0.8,1.0,1.0,1,402,398,2,96,"256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351",1,0.5,11049,8358,2691,24.36,420478976,419430400,2,0,0,"78,352",2026-02-16 13:57:06.077797
Pe_10.0_alpha_in_0.9_alpha_out_0.1_kappa_1.0_pol_1,10.0,0.9,0.1,1.0,1,593,587,4,25,"514,515,516,517,518,519,520,521,522,523,524,525,526,527,528,529,530,531,532,533,534,535,536,537,538",1,0.67,13295,12327,968,7.28,620756992,619708416,4,0,0,"208,512,513,539",2026-02-09 22:01:50.737799
Pe_10.0_alpha_in_0.9_alpha_out_0.2_kappa_1.0_pol_1,10.0,0.9,0.2,1.0,1,450,445,3,20,"360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379",1,0.67,10139,9345,794,7.83,470810624,469762048,3,0,0,"358,359,380",2026-02-09 22:01:43.991523
Pe_10.0_alpha_in_0.9_alpha_out_0.3_kappa_1.0_pol_1,10.0,0.9,0.3,1.0,1,406,401,3,18,"343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360",1,0.74,9135,8421,714,7.82,424673280,423624704,3,0,0,"341,342,361",2026-02-09 22:01:43.313731
Pe_10.0_alpha_in_0.9_alpha_out_0.4_kappa_1.0_pol_1,10.0,0.9,0.4,1.0,1,402,398,2,123,"256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378",1,0.5,12149,8358,3791,31.2,420478976,419430400,2,0,0,"80,379",2026-02-16 13:57:07.286653
Pe_10.0_alpha_in_0.9_alpha_out_0.5_kappa_1.0_pol_1,10.0,0.9,0.5,1.0,1,402,397,3,117,"256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372",1,0.75,11484,8337,3147,27.4,420478976,419430400,3,0,0,"80,200,373",2026-02-16 13:57:05.787353
Pe_10.0_alpha_in_0.9_alpha_out_0.6_kappa_1.0_pol_1,10.0,0.9,0.6,1.0,1,402,398,2,56,"256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311",1,0.5,10195,8358,1837,18.02,420478976,419430400,2,0,0,"165,312",2026-02-16 13:57:06.196000
Pe_10.0_alpha_in_0.9_alpha_out_0.7_kappa_1.0_pol_1,10.0,0.9,0.7,1.0,1,402,399,1,52,"256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307",1,0.25,10125,8379,1746,17.24,420478976,419430400,1,0,0,308,2026-02-16 13:57:07.263682
Pe_10.0_alpha_in_0.9_alpha_out_0.8_kappa_1.0_pol_1,10.0,0.9,0.8,1.0,1,402,395,5,48,"255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302",1,1.24,9987,8295,1692,16.94,420478976,419430400,5,0,0,"121,252,253,254,303",2026-02-16 13:57:05.030832
Pe_10.0_alpha_in_0.9_alpha_out_0.9_kappa_1.0_pol_1,10.0,0.9,0.9,1.0,1,402,394,6,45,"236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284",1,1.49,9613,8274,1339,13.93,420478976,419430400,6,0,0,"80,122,234,235,252,285",2026-02-16 13:57:03.661425
Pe_10.0_alpha_in_0.9_alpha_out_1.0_kappa_1.0_pol_1,10.0,0.9,1.0,1.0,1,402,394,6,45,"237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284",1,1.49,9644,8274,1370,14.21,420478976,419430400,6,0,0,"81,121,235,236,253,285",2026-02-16 13:57:03.628017
Pe_10.0_alpha_in_1.0_alpha_out_0.1_kappa_1.0_pol_1,10.0,1.0,0.1,1.0,1,440,435,3,26,"361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386",1,0.68,10107,9135,972,9.62,460324864,459276288,3,0,0,"359,360,387",2026-02-09 22:01:50.066208
Pe_10.0_alpha_in_1.0_alpha_out_0.2_kappa_1.0_pol_1,10.0,1.0,0.2,1.0,1,402,396,4,137,"256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392",1,1.0,12064,8316,3748,31.07,420478976,419430400,4,0,0,"122,171,172,393",2026-02-16 13:57:08.824358
Pe_10.0_alpha_in_1.0_alpha_out_0.3_kappa_1.0_pol_1,10.0,1.0,0.3,1.0,1,402,399,1,100,"256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355",1,0.25,11172,8379,2793,25.0,420478976,419430400,1,0,0,356,2026-02-16 13:57:07.648402
Pe_10.0_alpha_in_1.0_alpha_out_0.4_kappa_1.0_pol_1,10.0,1.0,0.4,1.0,1,402,399,1,100,"256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355",1,0.25,11100,8379,2721,24.51,420478976,419430400,1,0,0,356,2026-02-16 13:57:40.196873
Pe_10.0_alpha_in_1.0_alpha_out_0.5_kappa_1.0_pol_1,10.0,1.0,0.5,1.0,1,402,399,1,89,"256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344",1,0.25,10866,8379,2487,22.89,420478976,419430400,1,0,0,345,2026-02-16 13:57:43.531903
Pe_10.0_alpha_in_1.0_alpha_out_0.6_kappa_1.0_pol_1,10.0,1.0,0.6,1.0,1,402,397,3,106,"256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361",1,0.75,11229,8337,2892,25.75,420478976,419430400,3,0,0,"188,189,362",2026-02-16 13:57:45.014558
Pe_10.0_alpha_in_1.0_alpha_out_0.7_kappa_1.0_pol_1,10.0,1.0,0.7,1.0,1,402,397,3,100,"256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355",1,0.75,11119,8337,2782,25.02,420478976,419430400,3,0,0,"109,156,356",2026-02-16 13:57:48.302624
Pe_10.0_alpha_in_1.0_alpha_out_0.8_kappa_1.0_pol_1,10.0,1.0,0.8,1.0,1,402,398,2,70,"256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325",1,0.5,9908,8358,1550,15.64,420478976,419430400,2,0,0,"201,326",2026-02-16 13:57:44.613734
Pe_10.0_alpha_in_1.0_alpha_out_0.9_kappa_1.0_pol_1,10.0,1.0,0.9,1.0,1,453,448,3,17,"354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370",1,0.66,10060,9408,652,6.48,473956352,472907776,3,0,0,"125,353,371",2026-02-09 22:01:50.629920
Pe_10.0_alpha_in_1.0_alpha_out_1.0_kappa_1.0_pol_1,10.0,1.0,1.0,1.0,1,490,483,5,45,"421,422,423,424,425,426,427,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466",1,1.02,11488,10143,1345,11.71,512753664,511705088,5,0,0,"141,419,420,428,467",2026-02-09 22:01:47.020616
