simulation_dir,Pe,alpha_in,alpha_out,kappa,pol,blocks_original,blocks_valid,blocks_eliminated,blocks_recovered,recovered_block_numbers,blocks_excluded_final,blocks_lost_pct,frames_original,frames_written,frames_lost,frames_lost_pct,last_timestep,valid_timestep,n_corrupted,n_recovered_excluded,n_incomplete,eliminated_block_numbers,timestamp
Pe_10.0_alpha_in_0.5_alpha_out_1.0_kappa_1.0_pol_1,10.0,0.5,1.0,1.0,1,402,393,7,30,"256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285",1,1.74,9625,8253,1372,14.25,420478976,419430400,7,0,0,"250,251,252,253,254,255,286",2026-02-16 13:55:56.738706
Pe_10.0_alpha_in_0.6_alpha_out_0.1_kappa_1.0_pol_1,10.0,0.6,0.1,1.0,1,402,399,1,116,"256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371",1,0.25,11762,8379,3383,28.76,420478976,419430400,1,0,0,372,2026-02-16 13:56:01.510711
Pe_10.0_alpha_in_0.6_alpha_out_0.2_kappa_1.0_pol_1,10.0,0.6,0.2,1.0,1,402,398,2,139,"256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394",1,0.5,12048,8358,3690,30.63,420478976,419430400,2,0,0,"151,395",2026-02-16 13:56:00.628967
Pe_10.0_alpha_in_0.6_alpha_out_0.3_kappa_1.0_pol_1,10.0,0.6,0.3,1.0,1,402,398,2,87,"256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342",1,0.5,10915,8358,2557,23.43,420478976,419430400,2,0,0,"62,343",2026-02-16 13:55:59.617816
Pe_10.0_alpha_in_0.6_alpha_out_0.4_kappa_1.0_pol_1,10.0,0.6,0.4,1.0,1,402,399,1,75,"256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330",1,0.25,10609,8379,2230,21.02,420478976,419430400,1,0,0,331,2026-02-16 13:56:00.180183
Pe_10.0_alpha_in_0.6_alpha_out_0.5_kappa_1.0_pol_1,10.0,0.6,0.5,1.0,1,402,399,1,81,"256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336",1,0.25,10716,8379,2337,21.81,420478976,419430400,1,0,0,337,2026-02-16 13:55:59.675839
Pe_10.0_alpha_in_0.6_alpha_out_0.6_kappa_1.0_pol_1,10.0,0.6,0.6,1.0,1,402,399,1,91,"256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346",1,0.25,10911,8379,2532,23.21,420478976,419430400,1,0,0,347,2026-02-16 13:56:56.442806
Pe_10.0_alpha_in_0.6_alpha_out_0.7_kappa_1.0_pol_1,10.0,0.6,0.7,1.0,1,402,398,2,90,"256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345",1,0.5,10897,8358,2539,23.3,420478976,419430400,2,0,0,"119,346",2026-02-16 13:56:58.571815
Pe_10.0_alpha_in_0.6_alpha_out_0.8_kappa_1.0_pol_1,10.0,0.6,0.8,1.0,1,402,398,2,82,"256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337",1,0.5,10755,8358,2397,22.29,420478976,419430400,2,0,0,"82,338",2026-02-16 13:57:04.054170
Pe_10.0_alpha_in_0.6_alpha_out_0.9_kappa_1.0_pol_1,10.0,0.6,0.9,1.0,1,402,399,1,114,"256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369",1,0.25,11402,8379,3023,26.51,420478976,419430400,1,0,0,370,2026-02-16 13:57:05.008406
Pe_10.0_alpha_in_0.6_alpha_out_1.0_kappa_1.0_pol_1,10.0,0.6,1.0,1.0,1,402,399,1,115,"256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370",1,0.25,11426,8379,3047,26.67,420478976,419430400,1,0,0,371,2026-02-16 13:57:04.878241
Pe_10.0_alpha_in_0.7_alpha_out_0.1_kappa_1.0_pol_1,10.0,0.7,0.1,1.0,1,402,399,1,0,,1,0.25,8408,8379,29,0.34,420478976,419430400,1,0,0,131,2026-02-16 13:57:03.470847
Pe_10.0_alpha_in_0.7_alpha_out_0.2_kappa_1.0_pol_1,10.0,0.7,0.2,1.0,1,458,431,25,0,,1,5.46,10334,9051,1283,12.42,479199232,478150656,25,0,0,"159,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433",2026-02-09 22:00:30.540425
Pe_10.0_alpha_in_0.7_alpha_out_0.3_kappa_1.0_pol_1,10.0,0.7,0.3,1.0,1,402,398,2,134,"256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389",1,0.5,11924,8358,3566,29.91,420478976,419430400,2,0,0,"134,390",2026-02-16 13:57:08.116615
Pe_10.0_alpha_in_0.7_alpha_out_0.4_kappa_1.0_pol_1,10.0,0.7,0.4,1.0,1,402,398,2,83,"256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338",1,0.5,10766,8358,2408,22.37,420478976,419430400,2,0,0,"117,339",2026-02-16 13:57:07.256158
